m_up	B_up	B_up_err	m_down	B_down	B_down_err	m_down_neg	B_down_neg	B_down_neg_err	m_up_neg	B_up_neg	B_up_neg_err
0.0252	0.589824	0.001536	-0.0071	0.05058001	0.00004498	0.021	0.555025	-0.00149	-0.0082	0.04652649	-0.00004314
0.0256	0.599076	0.001548	-0.0072	0.04490161	0.00004238	0.0214	0.565504	-0.001504	-0.0084	0.04214809	-0.00004106
0.0262	0.6084	0.00156	-0.0077	0.03972049	0.00003986	0.0217	0.571536	-0.001512	-0.0085	0.03713329	-0.00003854
0.0267	0.616225	0.00157	-0.0078	0.03433609	0.00003706	0.0221	0.580644	-0.001524	-0.0088	0.03268864	-0.00003616
0.027	0.625681	0.001582	-0.0077	0.03010225	0.0000347	0.0227	0.589824	-0.001536	-0.0091	0.02832489	-0.00003366
0.0274	0.633616	0.001592	-0.0082	0.02566404	0.00003204	0.0231	0.595984	-0.001544	-0.0092	0.02408704	-0.00003104
0.0279	0.64	0.0016	-0.0083	0.02175625	0.0000295	0.0234	0.605284	-0.001556	-0.0094	0.02056356	-0.00002868
0.0282	0.648025	0.00161	-0.0084	0.01792921	0.00002678	0.0237	0.614656	-0.001568	-0.0098	0.01700416	-0.00002608
0.0284	0.654481	0.001618	-0.0084	0.01478656	0.00002432	0.0242	0.622521	-0.001578	-0.0097	0.01387684	-0.00002356
0.0288	0.662596	0.001628	-0.0086	0.01159929	0.00002154	0.0246	0.630436	-0.001588	-0.0098	0.01119364	-0.00002116
0.0293	0.667489	0.001634	-0.0086	0.00898704	0.00001896	0.025	0.638401	-0.001598	-0.0098	0.00857476	-0.00001852
0.0297	0.675684	0.001644	-0.0088	0.00682276	0.00001652	0.0252	0.644809	-0.001606	-0.0098	0.00652864	-0.00001616
0.0299	0.682276	0.001652	-0.0086	0.00478864	0.00001384	0.0255	0.652864	-0.001616	-0.0101	0.00461041	-0.00001358
0.0303	0.690561	0.001662	-0.009	0.00323761	0.00001138	0.0261	0.659344	-0.001624	-0.0099	0.00308025	-0.0000111
0.0305	0.695556	0.001668	-0.0091	0.00196249	0.00000886	0.0264	0.667489	0.001634	-0.0102	0.00180625	-0.0000085
0.0308	0.703921	0.001678	-0.0085	0.000961	0.0000062	0.0266	0.674041	-0.001642	-0.0099	0.00093025	-0.0000061
0.0314	0.708964	0.001684	-0.0087	0.000307652	3.508E-07	0.0268	0.678976	-0.001648	-0.01	0.00028224	-0.000000336
